Row Labels,Sum of Temperature,Sum of Precipitation,Sum of Number of Deer,Sum of Number of Tigers,Sum of Grain Height
2024-01,60,7,4,6,5
2024-02,47.49,8.13,0,0,7.03
2024-03,51.52,12.44,2,3,22.26
2024-04,63.06,11.59,5,6,18.32
2024-05,61.88,13.87,7,7,7.46
2024-06,69.7,11.46,6,10,0
2024-07,78.87,9.07,3,12,0
2024-08,76.61,5.5,1,10,0
2024-09,83.19,4.42,0,0,0
2024-10,67.89,2.07,0,0,0
2024-11,47.66,1.63,0,1,3.33
2024-12,36.18,1.73,2,4,8.88
2025-01,33.43,6.66,6,18,8.2
2025-02,33.82,8.16,8,21,7.96
2025-03,38.45,9.68,7,23,12.58
2025-04,64.8,11.67,9,26,12.01
2025-05,65.44,14.15,0,1,0.94
2025-06,76.39,10.43,0,1,0.99
2025-07,82.07,8.65,0,0,0.99
2025-08,79.19,7.34,0,2,0.99
2025-09,69.99,3.84,0,0,0.99
2025-10,65.71,2.28,1,1,0.02
2025-11,52.83,2.77,1,0,1.31
2025-12,41.52,2.17,2,4,1.43
2026-01,46.84,7.12,2,5,11.13
2026-02,32.08,10.35,6,23,5.98
2026-03,46.38,9.59,7,20,9.15
2026-04,48.67,13.45,9,22,5.15
2026-05,72.98,12.19,5,17,5.7
2026-06,65.43,9.32,2,16,0
2026-07,78.47,6.81,0,14,0
2026-08,74.08,7.33,0,1,0
2026-09,82.19,4.16,0,1,0
2026-10,60.51,1.36,0,0,0
2026-11,52.33,2.25,1,1,1.98
2026-12,46.11,3.43,3,5,3.3
2027-01,41.31,3.6,5,6,9.5
2027-02,39.43,10.28,8,25,20.32
2027-03,54.47,12.13,13,28,5.05
2027-04,50.51,13.75,2,2,4.13
2027-05,67.98,12.21,5,6,1.5
2027-06,77.9,9.91,4,7,0
2027-07,78.12,10.07,2,9,0
2027-08,85.9,4.77,0,0,0
2027-09,68.72,4.33,0,3,0
2027-10,62.18,1.95,0,3,0.05
2027-11,63.95,1.56,0,1,0.16
2027-12,49,4.19,0,3,3.99
2028-01,39.47,7.14,4,14,3.93
2028-02,38.65,9.81,7,16,28.79
2028-03,49.54,12.89,9,18,28.01
2028-04,54.47,11.66,12,21,12.89
2028-05,74.18,14.48,0,1,1.87
2028-06,67.1,12.77,0,0,0
2028-07,82.14,8.28,0,2,0.01
2028-08,81.71,4.57,0,1,0.01
2028-09,79.86,1.99,0,3,0.01
2028-10,64.12,0.11,0,3,0.01
2028-11,48.57,0.31,0,0,2.27
2028-12,46.99,2.42,2,2,7.67
2029-01,34.07,7.07,4,14,5.77
2029-02,32.74,7.06,7,17,17.53
2029-03,45.77,12.28,10,19,13.37
2029-04,64.52,14.54,11,21,0
2029-05,68.87,12.33,0,2,0.41
2029-06,79.14,10.72,0,1,0.42
2029-07,75.2,7.48,0,3,0.42
2029-08,81.01,4.42,0,1,0.42
2029-09,67.19,3.69,0,0,0.42
2029-10,57.69,2.38,0,3,0.73
2029-11,48.11,2.18,1,2,4.4
2029-12,37.35,4.56,4,5,11.47
Grand Total,4311.69,527.96,209,543,348.61
